date,code,volume,open,high,low,adj_close,moving_average_2,moving_average_3,moving_average_5,moving_average_10,moving_average_20,pre_profit,profit
2010.8.9,15760,943445,31850,32150,31750,31850,31900,31816.66667,31810,32490,32292.5,-0.00312989,0.009478673
2010.8.10,15760,1593668,31850,32000,31400,31600,31725,31800,31730,32330,32272.5,-0.007849294,-0.00312989
2010.8.11,15760,1578942,31500,31700,31000,31050,31325,31500,31620,32080,32217.5,-0.017405063,-0.007849294
2010.8.12,15760,1722565,30800,30900,30550,30550,30800,31066.66667,31400,31775,32157.5,-0.01610306,-0.017405063
2010.8.13,15760,1733586,30600,30850,30400,30850,30700,30816.66667,31180,31540,32150,0.009819967,-0.01610306
2010.8.16,15760,2069132,30900,30900,30400,30750,30800,30716.66667,30960,31385,32145,-0.003241491,0.009819967
2010.8.17,15760,1272706,30600,30950,30550,30900,30825,30833.33333,30820,31275,32085,0.004878049,-0.003241491
2010.8.18,15760,1124829,30800,31100,30800,30950,30925,30866.66667,30800,31210,32037.5,0.001618123,0.004878049
2010.8.19,15760,1343428,30900,31450,30850,31300,31125,31050,30950,31175,31997.5,0.011308562,0.001618123
2010.8.20,15760,1869288,31150,31300,30800,31000,31150,31083.33333,30980,31080,31872.5,-0.009584665,0.011308562
2010.8.23,15760,1129882,31150,31200,30650,30900,30950,31066.66667,31010,30985,31737.5,-0.003225806,-0.009584665
2010.8.24,15760,1977574,30800,30800,30400,30500,30700,30800,30930,30875,31602.5,-0.012944984,-0.003225806
2010.8.25,15760,1688465,30750,31150,30700,30900,30700,30766.66667,30920,30860,31470,0.013114754,-0.012944984
2010.8.26,15760,1554918,30850,31000,30400,30650,30775,30683.33333,30790,30870,31322.5,-0.008090615,0.013114754
2010.8.27,15760,2788667,30500,30550,29600,29900,30275,30483.33333,30570,30775,31157.5,-0.024469821,-0.008090615
2010.8.30,15760,963160,30050,30300,30000,30200,30050,30250,30430,30720,31052.5,0.010033445,-0.024469821
2010.8.31,15760,2842947,29900,30000,29100,29150,29675,29750,30160,30545,30910,-0.034768212,0.010033445
2010.9.1,15760,2625446,29200,29400,28500,28900,29025,29416.66667,29760,30340,30775,-0.008576329,-0.034768212
2010.9.2,15760,1763085,29350,29450,28950,29000,28950,29016.66667,29430,30110,30642.5,0.003460208,-0.008576329
2010.9.3,15760,1624581,29150,29350,29050,29200,29100,29033.33333,29290,29930,30505,0.006896552,0.003460208
2010.9.6,15760,1335530,29400,29450,29000,29200,29200,29133.33333,29090,29760,30372.5,0,0.006896552
2010.9.7,15760,1742156,29200,29250,28800,28800,29000,29066.66667,29020,29590,30232.5,-0.01369863,0
2010.9.8,15760,1755403,28950,29400,28900,29100,28950,29033.33333,29060,29410,30135,0.010416667,-0.01369863
2010.9.9,15760,1531610,29400,29400,28950,28950,29025,28950,29050,29240,30055,-0.005154639,0.010416667
2010.9.10,15760,2469106,29100,30150,29050,30100,29525,29383.33333,29230,29260,30017.5,0.039723661,-0.005154639
2010.9.13,15760,1415015,30300,30400,29650,29950,30025,29666.66667,29380,29235,29977.5,-0.004983389,0.039723661
