company,year,PROFIT,INTEREST,GAS,ROE,EPS,BPS,PER,PBR,PSR,DR,ASSET,SALES,OPERATION_PROFIT,CASH_FLOW
한미약품,2011,0.024382886073292864,3.4,-19.66,1.43,171.93,44859.39,381.55063,1.46235,0.81293,108.28,787751024.53,606192086.56,21192252.76,36993096.16
롯데쇼핑,2011,-0.22164337929120015,3.4,-19.66,7.15,32083.57,480875.07,10.58174,0.706,0.44309,125.23,33061119644.31,22253087550.98,1694898111.91,1491718950.35
CJ,2011,0.1138295428440157,3.4,-19.66,10.85,12734.61,103910.47,6.04651,0.74102,0.16814,159.86,19656075093.0,13271073391.0,900591897.0,1095205450.0
LG유플러스,2011,0.086647961709853,3.4,-19.66,2.17,164.4,7837.49,45.01217,0.94418,0.41469,186.28,11048543000.0,9186407000.0,279324000.0,1274239000.0
GS,2011,-0.1570435409188562,3.4,-19.66,12.64,8169.7,63529.23,6.20586,0.79806,0.56362,53.55,10424837000.0,8518742000.0,932140000.0,773672000.0
CJ제일제당,2011,0.23635898297833324,3.4,-19.66,8.52,21157.8,200616.26,13.6829,1.44305,0.63094,141.45,11339519300.0,6538208074.0,459920951.0,482465861.0
현대글로비스,2011,0.20716263551048253,3.4,-19.66,27.23,9568.19,39779.65,20.06649,4.82659,0.75424,156.52,3826579602.45,9545995020.74,462463999.01,412699458.08
한국항공우주,2011,-0.14695855015252113,3.4,-19.66,10.08,797.02,8676.25,49.62234,4.55842,2.8328,107.61,1755476404.71,1286127801.87,104548662.21,113662742.19
한화케미칼,2011,-0.4083315711566927,3.4,-19.66,3.51,1807.39,29512.62,13.61079,0.83354,0.43449,147.06,11853543058.56,7942644582.72,325868278.19,548209138.13
삼성중공업,2011,-0.017007345895879933,3.4,-19.66,19.4,3685.18,22955.55,7.57086,1.21539,0.48124,253.44,16413939003.19,13391764073.46,1082610040.41,1223227077.32
롯데지주,2011,0.0013492642850305714,3.4,-19.66,3.78,68717.95,1784826.7,24.84067,0.9564,1.30859,49.19,3901265035.04,1854158119.67,173238892.64,167774205.04
DB손해보험,2011,-0.05534417156693183,3.4,-19.66,17.98,5331.26,32350.53,10.01639,1.65067,0.35362,681.34,17664260394.15,8979845646.46,506769354.0,427480458.0
삼성카드,2011,-0.2504918935935778,3.4,-19.66,6.1,3051.16,49919.93,12.74925,0.77925,1.49276,163.16,16135253273.09,2465006843.0,386193403.97,485230471.36
한국가스공사,2011,0.4479003404853268,3.4,-19.66,2.22,2348.26,105478.23,17.75783,0.39534,0.11336,347.73,36015342446.61,28429772155.77,1023175687.81,1026976158.27
NH투자증권,2011,-0.2954943000180952,3.4,-19.66,5.32,945.04,15879.68,11.21646,0.66752,0.51658,566.28,22984987000.0,825282000.0,233079000.0,205762000.0
KCC,2011,-0.021943543122180276,3.4,-19.66,6.0,30967.0,486416.87,9.21949,0.58695,0.89101,46.1,7342270308.29,3370854632.9,122771308.39,560227019.18
한샘,2011,0.16902241409900043,3.4,-19.66,20.69,1670.43,10265.0,12.18249,1.98246,0.67184,95.0,394729625.49,712843527.67,48739304.57,45633641.45
한국금융지주,2011,0.023805811112843633,3.4,-19.66,11.31,4860.42,41346.43,7.47878,0.87916,0.77527,650.13,18794444234.41,618873049.57,301610703.63,305762791.31
현대건설,2011,-0.08844629905090373,3.4,-19.66,16.51,5700.54,37711.09,12.34971,1.86682,0.65825,172.07,11871889000.0,11920167000.0,735596000.0,711786000.0
현대해상,2011,0.05605750840862633,3.4,-19.66,25.39,4531.78,19984.78,7.6129,1.72631,0.26672,915.94,18096198234.74,9703127098.23,549347862.88,462593106.97
에스원,2011,0.11415686128948432,3.4,-19.66,18.7,3323.79,23553.41,17.41987,2.45824,2.14415,38.98,1057718910.01,1026118270.44,167188187.98,195314476.22
CJ대한통운,2011,-0.05535716189278217,3.4,-19.66,3.62,3702.68,118017.61,20.2556,0.6355,0.66114,58.75,3595163312.14,2587848422.85,125019926.61,158799939.94
삼성증권,2011,-0.25692666552881605,3.4,-19.66,6.18,2419.29,43884.91,20.41921,1.12567,1.28194,396.11,16770484439.59,1183285729.65,290956730.53,220058377.52
